GRTS_ID,frame_id
2,74208
5,117258
6,70585
8,43327
13,40023
15,80897
18,91800
20,37838
22,55180
24,31748
26,83405
27,92378
31,96143
33,107509
34,84950
35,107728
36,28549
37,107618
38,48226
42,91752
43,67015
45,58459
47,51676
50,94636
51,109072
53,113186
55,121286
58,89379
59,47119
60,69851
61,65909
63,67394
64,79548
66,85770
70,72920
72,21565
74,88514
75,85943
77,41867
79,93860
81,129206
82,78428
84,30444
85,107573
86,48708
89,35347
90,83438
91,96542
93,24765
95,84584
97,128781
98,90982
101,115485
102,53759
105,25628
106,81974
107,67946
108,57342
109,49203
111,50285
112,91618
113,113025
114,59911
115,105360
116,16443
117,103455
118,53282
122,96806
123,45216
124,51303
125,61749
127,71551
128,92057
130,98309
132,36901
133,113096
134,48809
136,26682
138,95024
139,74346
141,35843
142,33906
144,92573
145,105134
146,78907
149,110808
150,63060
153,44142
154,77411
155,92876
156,28154
157,66801
159,79016
161,116264
162,95604
163,104971
165,118758
166,64890
170,96313
171,60500
172,69839
173,58026
175,60001
176,95779
177,101934
178,62707
179,110903
180,26192
182,68559
183,109693
187,52177
188,49001
189,85797
194,89014
196,37366
198,55286
200,34961
202,82476
203,80815
205,15476
206,38534
207,99410
209,109835
210,81705
211,104960
214,66763
215,103656
217,39953
218,97302
219,94276
221,65406
223,53954
225,121402
226,90945
227,109565
230,69990
235,63290
236,59624
237,56650
239,66488
240,80012
242,49763
244,30387
246,64849
247,112502
249,31710
251,86010
253,77954
256,78181
257,131072
258,79290
262,71514
264,33605
265,5308
267,75760
269,40037
271,79521
273,116711
274,90413
276,36921
278,52427
282,85732
283,88694
285,18728
287,100319
289,104729
290,86814
291,105868
292,22990
293,105293
294,57018
297,34840
298,73660
299,70246
301,54287
303,54930
305,118615
306,65929
307,104467
309,105330
312,15193
314,91701
315,45263
316,68920
317,69611
319,60451
320,73991
322,101096
325,107528
326,66896
330,88529
331,83626
333,43711
337,113930
338,80737
341,107096
342,50105
345,32575
346,87139
347,96567
348,42053
349,26135
351,76717
353,123700
354,93761
357,109461
358,59324
361,27935
362,84302
363,67441
364,69822
365,58013
367,50271
368,97188
369,102386
370,66868
371,102096
375,107385
378,97272
379,50302
380,46211
381,64054
383,69688
384,90649
386,98302
388,36891
389,108940
390,46936
392,23895
394,100552
395,74797
397,27037
400,92101
401,109303
402,87244
405,111262
406,63051
407,102727
409,39038
410,79722
411,100750
412,25372
413,68195
415,52113
417,130617
418,98382
422,70902
426,96775
427,69310
428,62429
429,47852
431,66043
432,99945
433,115352
434,44654
435,113686
436,27094
438,70879
439,109709
443,52636
444,46678
445,83496
448,82355
449,123656
450,92716
452,39212
454,57122
456,37760
458,73207
459,82679
461,25191
462,42239
463,96626
464,101824
465,114921
466,79865
467,106344
470,70933
473,39472
474,97742
475,91505
477,62153
479,45630
481,125092
482,99265
483,112797
485,114588
487,124527
490,84737
491,45249
492,72644
493,45053
495,59559
496,76311
497,122367
498,47448
500,42419
502,60212
503,114820
505,36349
507,78123
509,83008
512,79119
513,131055
514,78372
518,59032
519,117866
521,10870
523,84541
525,35371
527,74900
529,122740
530,98278
532,29973
533,121940
534,55661
538,84360
539,88228
540,40645
541,15492
543,84572
545,104277
546,92356
549,105280
550,53774
554,74113
555,60995
556,49941
557,46900
559,54901
561,118609
562,67776
563,106778
565,103476
568,11961
570,99113
571,58673
572,65698
573,72838
575,61831
576,98072
578,94152
580,42445
