GRTS_ID,frame_id
4,1082
7,754
16,1422
18,1460
20,998
29,1631
32,1101
34,823
45,904
61,1465
63,1403
68,1555
82,1382
84,1155
91,1410
93,834
98,981
101,755
107,1411
109,1149
115,747
123,846
125,1386
127,1483
132,1316
141,1232
146,1380
148,916
151,743
155,1486
157,1150
162,1704
172,1341
173,1065
175,1320
187,1092
191,920
196,1238
205,1553
210,1463
215,659
221,987
235,1088
237,1628
239,1560
245,682
255,1083
260,1081
274,1621
276,999
285,1550
290,903
293,757
299,1331
301,985
317,1384
319,1405
324,1557
333,1314
338,1302
340,1079
347,1248
349,994
352,1021
354,901
365,1068
379,847
381,1388
383,1484
388,1397
397,1230
404,997
411,1566
413,1071
428,1340
429,1627
431,1401
437,763
443,1173
447,1001
452,1559
461,1554
464,937
466,1060
477,909
491,1090
493,1626
495,1641
501,761
511,1003
516,1161
530,1620
532,1157
539,1327
541,830
555,1412
557,986
563,666
571,1167
573,1305
575,1644
580,1637
589,1393
594,1379
596,1078
603,1329
605,992
610,1063
613,679
621,1066
637,1229
639,842
644,1395
653,1311
656,1096
658,1622
660,835
667,1647
669,1074
683,1493
685,1469
687,1242
699,1014
703,1163
708,1558
717,1473
720,1017
722,1140
733,989
745,767
747,929
749,1624
751,1482
757,681
767,925
772,1476
788,1076
795,1326
797,991
800,1019
802,821
811,1252
813,826
819,745
827,927
829,1226
831,1564
836,1315
845,1233
850,1221
852,837
859,1408
861,913
869,759
876,1420
877,1144
879,1240
883,748
885,684
893,1309
895,1002
900,1319
909,1552
914,1543
925,1072
939,1168
941,1549
943,1481
955,935
959,1085
962,1458
964,1478
973,1470
978,902
983,740
989,829
1003,848
1005,1544
1007,1244
1023,1004
1026,1459
1028,919
1037,1630
1043,664
1049,768
1051,1010
1053,1385
1055,1404
1058,1223
1060,1075
1067,1250
1069,833
1075,667
1083,1006
1085,1387
1087,1563
1092,1317
1101,1390
1117,1064
1119,1241
1122,1061
1131,1569
1133,907
1151,923
1154,1540
1156,839
1158,1703
1163,1406
1165,990
1168,1099
1171,665
1179,1087
1181,1225
1183,1243
1188,1636
1197,1234
1202,1143
1211,1494
1213,1147
1218,1299
1220,917
1227,1567
1229,1154
1243,1172
1247,921
1252,1639
1261,1472
1264,1016
1271,660
1275,1570
1277,908
1291,928
1293,1546
1295,1561
1301,760
1311,843
1316,1162
1333,677
1339,1332
1341,824
1346,1301
1348,836
1355,1249
1357,993
1371,1174
1373,1228
1375,922
1380,1398
1389,1231
1392,1097
1394,1542
1403,1489
1405,1153
1419,1492
1421,1468
1423,1480
1427,750
1435,934
1439,1165
1444,1638
1453,1474
1456,936
1465,766
1467,1008
1469,1545
1471,1324
1474,1383
1476,1077
1483,1407
1485,831
1491,744
1499,1007
1501,1306
1503,1645
1506,1220
1508,995
1515,1409
1517,912
1523,749
1525,765
1531,1091
1533,1307
1535,840
1540,1239
1549,1633
1563,1169
1565,1548
1567,1642
1570,982
1575,741
1581,828
1587,753
1589,762
1599,844
1604,1080
1616,1342
1618,983
1621,756
1627,1251
1629,984
1636,1635
1645,1394
1650,1303
1652,1158
1659,1330
1661,832
1666,900
1677,1069
1691,926
1693,1389
1695,1643
1698,1381
1700,996
1702,1701
1703,662
1707,1646
1709,1151
1717,683
1723,1171
1727,1000
1732,1318
1741,1634
1744,1018
1755,1170
1757,1466
1759,1640
1764,1160
1778,1541
1780,838
1782,1702
1787,1247
1789,910
1794,819
1797,676
1803,1413
1805,906
1819,1166
1821,1224
1823,1323
1826,1222
1828,1159
1835,1328
1837,914
1840,1020
1843,668
1851,1095
1853,1308
1855,1485
1858,1378
1860,1396
1869,1310
1872,1098
1883,1491
1884,1419
1885,1547
1887,1322
1895,661
1899,1490
1901,988
1919,1005
1924,1156
1931,1246
1933,911
1939,746
1947,1086
1949,1304
1951,1565
1956,1235
1965,1313
1970,1062
1980,1339
1981,1146
1983,1402
1986,1462
1995,1488
1997,1152
2003,751
2015,1164
2018,1141
2023,739
2027,1254
2029,827
2035,594
2037,680
2047,924
2052,1477
2066,980
2075,1253
2077,1148
2084,1237
2093,1312
2098,1300
2100,915
2103,742
2107,1487
2109,1070
2117,758
2124,1421
2125,1145
2127,1321
2133,764
2141,1227
2143,841
2146,1623
2155,1568
2157,1073
2171,1015
2175,1084
2178,1461
2180,918
2189,1551
2192,1100
2203,849
2205,1464
2207,1325
2212,1236
2221,1391
2237,1467
2239,1400
2244,1556
2253,1392
2258,1142
2269,1067
2276,1475
2290,820
2299,1333
2301,825
2308,1479
2317,1471
2331,1009
2333,1625
2335,1245
2340,1399
2349,1632
2363,1089
2365,1629
2367,1562
2370,822
2379,1414
2381,905
2387,752
2399,845
